composition,critical_temperature_tc
Tm1.2Pr0.8Ba4Cu7O14.652,50.0
Bi2Sr2Ca2Cu3O1,114.0
Bi1.8V0.2Sr2Ca2Cu3O2,112.0
Bi1.6V0.4Sr2Ca2Cu3O10+z,92.0
Bi1.4V0.6Sr2Ca2Cu3O10+z,67.0
Bi1.2V0.8Sr2Ca2Cu3O10+z,30.0
Bi1V1Sr2Ca2Cu3O10+z,15.0
Gd1Ba2Cu4O8,73.1
Gd1Sr0.1Ba1.9Cu4O8,73.5
Gd1Sr1.8Ba0.2Cu4O8,73.1
Ho1Ba2Cu4O8,68.5
Ho1Sr0.2Ba1.8Cu4O8,68.8
Ho1Sr0.4Ba1.6Cu4O8,68.1
Ho1Sr0.6Ba1.4Cu4O8,68.3
Nd1Ba2Cu3O7-z,94.0
Hg1Ba2Ca2Cu3O8+z,110.0
Hg0.7Pb0.3Ba2Ca2Cu3O8+z,143.0
Bi2Sr1.65La0.35Cu1Oz,26.95
Bi1.9Pb0.1Sr1.65La0.35Cu1Oz,30.7
Bi1.8Pb0.2Sr1.65La0.35Cu1Oz,36.8
Bi1.7Pb0.3Sr1.65La0.35Cu1Oz,37.75
Bi1.6Pb0.4Sr1.65La0.35Cu1Oz,40.3
Bi1.4Pb0.6Sr1.65La0.35Cu1Oz,41.0
Bi2Sr1.65La0.35Cu1Oz,29.35
Bi1.9Pb0.1Sr1.65La0.35Cu1Oz,30.05
Bi1.8Pb0.2Sr1.65La0.35Cu1Oz,30.9
Bi1.7Pb0.3Sr1.65La0.35Cu1Oz,31.05
Bi1.6Pb0.4Sr1.65La0.35Cu1Oz,26.85
Bi1.4Pb0.6Sr1.65La0.35Cu1Oz,25.2
La3.1Gd0.2Ca0.4Ba3.3Cu7O16.473,48.0
La2.9Gd0.3Ca0.6Ba3.2Cu0.3O16.503,58.0
La2.7Gd0.4Ca0.8Ba3.1Cu7O16.537,74.0
La2.5Gd0.5Ca1Ba3Cu7O16.359,80.0
La2.3Gd0.6Ca1.2Ba2.9Cu7O16.543,80.0
La2.1Gd0.7Ca1.4Ba2.8Cu0.7O16.471,79.0
La2.9Nd0.3Ca0.6Ba3.2Cu7Oz,58.0
La2.7Nd0.4Ca0.8Ba3.1Cu7Oz,76.0
La2.5Nd0.5Ca1Ba3Cu7Oz,80.0
La2.1Nd0.7Ca1.4Ba2.8Cu7Oz,79.0
La2.5Dy0.5Ca1Ba3Cu7Oz,80.0
Y1Ba2Cu3Li0.02O7-z,91.18
Y1Ba2Cu3Li0.08O7-z,89.2
Y1Ba2Cu3Li0.1O7-z,88.91
Y1Ba2Cu3Li0.3O7-z,86.0
Y1Ba2Cu3Li0.5O7-z,83.79
La1.85Sr0.15Cu1O4,37.8
La1.85Sr0.15Cu0.9Mg0.1O4,29.6
La1.85Sr0.15Cu0.8Mg0.2O4,15.6
Bi2Sr2Ca1Cu2Zn0.01C0.32H0.16N0.08Oz,68.3
Bi2Sr2Ca1Cu2Zn0.02C0.64H0.32N0.16Oz,65.1
Bi2Sr2Ca2Cu3Zn0.009C0.288H0.144N0.72Oz,92.9
Bi2Sr2Ca2Cu3Zn0.013C0.416H0.208N0.104Oz,91.0
Bi2Sr2Ca2Cu3Zn0.017C0.544H0.272N0.136Oz,87.1
Bi2Sr2Ca2Cu3Zn0.02C0.64H0.32N0.16Oz,79.8
Nd1Ba2Cu3O6.95,89.0
Nd1.1Ba1.9Cu3O6.96,87.6
Nd1.15Ba1.85Cu3O6.96,76.8
Nd1.25Ba1.75Cu3O6.99,52.7
Nd1.35Ba1.65Cu3O7.02,35.9
Nd1.45Ba1.55Cu3O7.08,26.5
Nd1.5Ba1.5Cu3O7.12,15.4
Pb2Sr2Y0.5Ca0.5Cu3O8.1882,62.0
Pb2Sr2Y0.5Ca0.5Cu3F0.253O7.9858,68.0
Pb2Sr2Y0.5Ca0.5Cu3F0.5612O7.649,72.0
Pb2Sr2Y0.5Ca0.5Cu3F0.8115O7.3458,78.0
Pb2Sr2Y0.5Ca0.5Cu3F1.0031O7.2608,73.0
Hg1Ba2Ca3Cu4OZ,123.0
Bi2Sr2Ca1Cu2O8-X,92.0
Bi2Sr2Ca1Cu2O8-X,85.0
Pb0.5Cd0.5La1Sr1Cu1O5-Z,35.0
Pb0.5Cd0.5La0.9Sr1.1Cu1O5-Z,12.0
Pb0.5Cd0.5La1.1Sr0.9Cu1O5-Z,37.0
Nd0.33Eu0.33Gd0.33Ba2Cu3OZ,94.1
Nd0.33Sm0.33Gd0.33Ba2Cu3OZ,93.1
Nd0.33Sm0.33Eu0.33Ba2Cu3OZ,95.3
Sm0.33Eu0.33Gd0.33Ba2Cu3OZ,93.1
La1Ca1Ba1Cu3O7,69.0
La0.7Pr0.3Ca1Ba1Cu3O7,40.0
Nd1Ba2Cu3O7,96.0
Pr1.79Ce0.15Sr0.06Cu1O3.94,21.0
Pr1.74Ce0.15Sr0.11Cu1O3.96,18.0
Pr1.9Ce0.1Cu1O3.98,9.0
Pr1.87Ce0.13Cu1O3.99,16.0
Bi2Sr2Ca1Cu2Zn0.03C0.96H0.48N0.24Oz,61.6
Bi2Sr2Ca1Cu2Zn0.035C1.12H0.56N0.28Oz,60.6
Bi2Sr2Ca1Cu2Zn0.05C1.6H0.8N0.4Oz,55.5
Bi2Sr2Ca1Cu2Zn0.067C2.144H1.072N0.536Oz,45.3
Pr1.85Ce0.15Cu1O3.98,18.0
Pr1.83Ce0.17Cu1O3.99,13.0
Y1La0.2Ba1.8Cu3O7.06,48.9
Y1La0.2Ba1.8Cu3O7.16,61.7
Y1La0.2Ba1.8Cu3O7.26,67.6
Y1La0.2Ba1.8Cu3O7.36,89.1
Y1La0.2Ba1.8Cu3O7.46,89.8
Y1La0.2Ba1.8Cu3O7.49,90.4
Y1La0.2Ba1.8Cu3O7.57,89.6
Y1La0.2Ba1.8Cu3O7.62,87.9
Y1La0.2Ba1.8Cu3O7.64,88.1
Y1La0.2Ba1.8Cu3O7.74,89.1
Y1La0.2Ba1.8Cu3O7.77,89.8
Y1La0.2Ba1.8Cu3O7.79,90.4
La1.2Ba1.8Cu3O7.2,27.0
La1.2Ba1.8Cu3O7.3,27.0
Y0.8Pr0.2Ba2Cu3O7,58.7
Y0.8Pr0.2Ba2Cu3O7.1,57.6
Y0.8Pr0.2Ba2Cu3O7.2,63.3
Y0.8Pr0.2Ba2Cu3O7.3,62.6
Y0.8Pr0.2Ba2Cu3O7.4,59.8
Y0.8Pr0.2Ba2Cu3O7.5,62.9
Y0.8Pr0.2Ba2Cu3O7.55,68.3
Y0.8Pr0.2Ba2Cu3O7.6,66.5
Y0.8Pr0.2Ba2Cu3O7.65,66.5
Y0.8Pr0.2Ba2Cu3O7.67,67.5
Y0.8Pr0.2Ba2Cu3O7.79,65.4
Y0.8Pr0.2Ba2Cu3O8.04,64.4
Y0.8Pr0.2Ba2Cu3O8.06,65.8
Pb1.75Ca0.2Y1Sr2Cu3O8+z,45.0
Pb1.75Ca0.2Y1Sr2Cu2.85Cr0.15O8+z,35.0
Pb1.75Ca0.2Y0.8Sr2Cu3O8+z,75.0
Pb1.75Ca0.2Y0.8Sr2Cu2.85Cr0.15O8+z,65.0
Y1Ba2Cu3Oz,90.1
Y0.9Ca0.1Ba2Cu3Oz,85.2
Y0.8Ca0.2Ba2Cu3Oz,80.9
Y1Ba2Cu3Oz,63.1
Y0.9Ca0.1Ba2Cu3O6.5,79.3
Y0.8Ca0.2Ba2Cu3Oz,77.5
Y0.8Ca0.2Ba2Cu3O6.5,84.8
Y0.9Ca0.1Ba2Cu3O6.03,19.8
Y0.8Ca0.2Ba2Cu3O6.03,43.5
Hg0.65V0.35Sr2Ca0.45Nd0.55Cu2Oz,55.0
Hg0.65V0.35Sr2Ca0.55Nd0.45Cu2O6.8,67.0
Hg0.65V0.35Sr2Ca0.65Nd0.35Cu2Oz,81.5
Hg0.65V0.35Sr2Ca0.75Nd0.25Cu2Oz,89.0
Hg1Ba2Cu1O4+z,91.0
Hg1Ba2Cu1O4+z,35.0
Hg1Ba2Ca1Cu2O6+z,120.0
Hg1Ba2Ca2Cu3O8+z,115.0
Hg1Ba2Cu1FO4+z,97.0
Hg1Ba2Cu1FO4+z,97.0
Hg1Ba2Ca1Cu2FO6+z,128.0
Hg1Ba2Ca2Cu3FO8+z,135.0
Hg1Ba2Ca3Cu4Oz,111.0
Hg1Ba2Ca3Cu4FOz,114.0
Hg1Ba2Ca4Cu5Oz,98.0
Hg1Ba2Ca4Cu5FOz,109.0
Tl1Ba2Ca2Cu3O9,110.0
Tl0.8Bi0.2Ba2Ca2Cu3O9,116.0
Sr2Cu1O3.1,70.0
Sr3Cu2O5+z,100.0
Bi2Sr2Cu1Oz,15.5
Y1Ba2Cu3O8,93.0
Y1Ba1.95Nd0.05Cu3Oz,92.5
Y1Ba1.9Nd0.1Cu3Oz,93.0
Y1Ba1.85Nd0.15Cu3Oz,92.0
Y1Ba1.8Nd0.2Cu3Oz,92.0
Y1Ba1.75Nd0.25Cu3Oz,93.0
Y1Ba1.7Nd0.3Cu3Oz,85.0
Y1Ba1.65Nd0.35Cu3Oz,88.0
Y1Ba1.6Nd0.4Cu3Oz,86.0
Y1Ba1.5Nd0.5Cu3Oz,30.0
Sr2Cu1O3.1,70.0
Sr2.1Ca0.9Cu2O5+z,100.0
Hg1Ba2Ca2Cu3Oz,110.3
Hg1Ba2Ca2Cu3Oz,126.0
Hg1Ba2Ca2Cu3F0.1Oz,127.4
Hg1Ba2Ca2Cu3F0.2Oz,128.4
Hg1Ba2Ca2Cu3Fe0.3Oz,128.5
Pb0.5Hg0.5Sr1.2La0.8Cu1O5-z,24.0
Tm1.83Ca0.17Cu1O4,30.0
Ba0.9K0.1Pb1O3,30.0
La1.85Sr0.15Cu1O4,36.5
La1.85Sr0.15Cu0.98Li0.02O4,36.5
La1.85Sr0.15Cu0.97Li0.03O4,33.5
La1.85Sr0.15Cu0.95Li0.05O4,27.2
Nd2Cu1O4,27.0
Nd2Cu1F0.22O3.78,24.5
Nd2Cu1F0.24O3.76,27.0
Nd2Cu1F0.3O3.7,27.0
Pb0.6Cu0.4Sr1La1Cu1O5.05,37.6
Pb0.6Cu0.4Sr1La1Cu1O5.06,37.8
Pb0.6Cu0.4Sr1La1Cu1O5.09,36.7
Pb0.6Cu0.4Sr1La1Cu1O5.12,35.9
Pb0.6Cu0.4Sr1La1Cu1O5.15,32.0
Pb0.6Cu0.4Sr1La1Cu1O5.19,25.1
Pb0.6Cu0.4Sr1La1Cu1O5.21,25.1
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.07,33.9
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.12,31.0
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.18,28.0
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.19,25.0
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.06,28.7
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.11,34.8
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.29,25.2
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.28,28.1
Pb0.6Cu0.4Sr0.9La1.1Cu1O5.06,37.6
Pb0.6Cu0.4Sr0.9La1.1Cu1O5.18,31.6
Pb0.6Cu0.4Sr0.9La1.1Cu1O5.24,27.8
Pb0.5Cu0.5Sr1La1Cu1O5.03,36.7
Pb0.5Cu0.5Sr1La1Cu1O5.05,36.7
Pb0.5Cu0.5Sr1La1Cu1O5.1,31.9
Pb0.5Cu0.5Sr1La1Cu1O5.15,28.0
Pb0.5Cu0.5Sr1La1Cu1O5.19,24.1
Pb0.5Cu0.5Sr0.8La1.2Cu1O5.01,38.7
Pb0.5Cu0.5Sr0.8La1.2Cu1O5.1,34.9
Pb0.5Cu0.5Sr0.8La1.2Cu1O5.16,28.0
Pb0.5Cu0.5Sr0.8La1.2Cu1O5.25,25.2
Pb0.5Cu0.5Sr0.9La1.1Cu1O5.02,38.5
Pb0.5Cu0.5Sr0.9La1.1Cu1O5.08,37.7
Pb0.5Cu0.5Sr0.9La1.1Cu1O5.16,28.1
Pb0.5Cu0.5Sr0.9La1.1Cu1O5.22,24.9
Hg1Ba2Ca2Cu3Fe0.5Oz,128.2
Hg1Ba2Ca2Cu3Fe0.6Oz,130.0
Hg1Ba2Ca2Cu3Fe0.8Oz,128.4
Hg1Ba2Ca2Cu3Fe1Oz,125.2
Ba1.6Sr0.4Yb1Cu3O6.96,82.0
Ba1.6Sr0.4Yb1Cu3O6.8,81.0
Ba1.6Sr0.4Yb1Cu3O6.75,60.0
Ba1.6Sr0.4Yb1Cu3O6.64,47.0
Ba1.6Sr0.4Yb1Cu3O6.53,34.0
Ba1.6Sr0.4Yb1Cu3O6.48,10.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.8,80.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.76,80.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.58,55.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.56,30.0
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.83,76.0
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.6,61.0
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.36,19.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.68,74.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.51,66.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.3,34.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.19,25.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6.19,23.0
Ba1.6Sr0.4Yb0.75Ca0.25Cu3O6,22.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.63,77.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.53,78.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.52,79.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.45,73.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu2O6.4,61.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.28,51.0
Ba1.6Sr0.4Yb0.8Ca0.2Cu3O6.04,13.0
Ba1.6Sr0.4Yb0.7Ca0.3Cu3O6,41.0
Cu1Ba1.6Sr0.4Yb0.65Ca0.35Cu2O6.15,48.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.15,49.0
Ba1.6Sr0.4Yb0.65Ca0.35Cu3O6.04,50.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.61,76.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.36,75.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.25,53.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.14,47.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.14,46.0
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.04,47.0
Hg0.75Ba2.07Ca2.07Cu3.11O8.136,132.9
Hg0.92Ba2.05Cu1.03O4.044,90.7
Bi2Sr2Ca1Cu1.95K0.5O8+z,85.0
Bi2Sr2Ca1Cu1.4K0.6O8+z,87.0
Bi2Sr2Ca1Cu1.3K0.7O8+z,93.0
Hg1Ba2Ca4Cu5Oz,100.0
Hg1Ba2Ca4Cu5Oz,85.0
Hg1Ba2Ca4Cu5Oz,106.0
Hg1Ba2Ca4Cu5Oz,111.0
Hg1Ba2Ca3Cu4Oz,116.0
Hg1Ba2Ca3Cu4Oz,95.0
Hg1Ba2Ca3Cu4Oz,116.0
Hg1Ba2Ca3Cu4Oz,125.0
Y0.74Ca0.16Sr2.1Cu2.78S0.22O7,25.0
Y1Ca1Ba4Cu5N0.3C0.7O14,82.0
Tl0.5Bi0.5Sr4Cu2C1O10,55.0
Tl0.5Bi0.5Sr4Cu2C1O10,52.0
Tl0.7Bi0.3Sr4Cu2C1O10,50.0
Tl0.7Bi0.3Sr4Cu2C1O10,48.0
Bi2Sr4Cu2C1O11,30.0
Tl0.5Pb0.5Sr4Cu2C7.75O23.25,23.0
Tl0.5Pb0.5Sr4Cu2C7.75O23.25,63.0
Tl0.5Pb0.5Sr4Cu2C7O21,60.0
Tl0.5Pb0.5Sr4Cu2C7O21,70.0
Ba1.1Sr0.9Cu1.1C0.9O4.9+z,26.0
Y1Sr1Ba1Cu2.75B0.25Oz,35.0
Y0.5Ca0.5Sr1Ba1Cu2.75B0.25Oz,50.0
Bi2Sr4Cu2C1O11-z,32.0
Y0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,79.0
Pr0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,30.0
Nd0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,74.0
Sm0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,77.0
Eu1.5Pr0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,78.0
Gd0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,78.0
Dy0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,78.0
Ho0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,79.0
Er0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,80.0
Tm0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,79.0
Yb0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,78.0
Lu0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7-z,77.0
Y0.74Ca0.16Sr2.1Cu2.78S0.22O7,34.9
Y0.74Ca0.16Sr1.6Ba0.5Cu2.78S0.22O7,54.9
Y0.74Ca0.16Sr1.1Ba1Cu2.78S0.22O7,75.1
Y0.74Ca0.16Sr0.6Ba1.5Cu2.78S0.22O7,77.9
Y0.84Sr2.16Cu2.78S0.22O7,45.0
Y0.84Sr1.16Ba1Cu2.78S0.22O7,78.1
Hg1Ba2Ca2Cu3Oz,135.0
Ca0.9Sr2.1Cu2C0.75Oz,92.0
Y1Ba1Sr1Cu2.5B0.5Oz,25.0
Y0.7Ca0.3Sr2Cu2.8P0.2O0.8+z,37.0
Y1Ba1Sr1Cu2.8P0.2O4+z,47.0
Y0.7Ca0.3Ba1Sr1Cu2.8P0.2O0.8+z,68.0
Hg0.75Ba2.07Ca2.07Cu3.11O8.15,134.7
Hg0.75Ba2.07Ca2.07Cu3.11O8.16,134.2
Hg0.75Ba2.07Ca2.07Cu3.11O8.187,135.4
Hg0.75Ba2.07Ca2.07Cu3.11O8.208,135.8
Hg0.75Ba2.07Ca2.07Cu3.11O8.223,133.4
Hg0.92Ba2.05Cu1.03O4.05,93.8
Hg0.92Ba2.05Cu1.03O4.058,92.1
Hg0.92Ba2.05Cu1.03O4.062,96.5
Hg0.92Ba2.05Cu1.03O4.063,93.4
Hg0.92Ba2.05Cu1.03O4.065,91.6
Hg0.92Ba2.05Cu1.03O4.079,79.2
Hg0.92Ba2.05Cu1.03O4.087,70.3
Hg0.92Ba2.05Cu1.03O4.103,63.6
Bi2Sr2Ca1Cu1.5K0.5O8+z,85.0
Bi2Sr2Ca1Cu1.4K0.6O8+z,87.0
Bi2Sr2Ca1Cu1.3K0.7O8+z,93.0
Hg0.97Re0.03Ba2Ca2Cu3O8+z,130.0
Hg0.9Re0.1Ba2Ca1Cu2O6+z,120.0
Bi2Sr1.7Hg0.3Ca1Cu2Oz,72.5
Bi2Sr1.7Hg0.3Ca1Cu2Oz,81.0
Bi2Sr1.7Hg0.3Ca2Cu3Oz,74.5
Bi2Sr1.7Hg0.3Ca2Cu3Oz,111.0
Ga1Sr1.8Ca0.2Yb0.78Ca0.42Cu2Oz,20.0
Ga1Sr1.8Ca0.2Yb0.75Ca0.45Cu2Oz,52.0
La1Ba2Cu3OZ,70.3
La1Ba2Cu2.97Fe0.03OZ,55.2
La1Ba2Cu2.94Fe0.06OZ,35.9
La1Ba2Cu2.9Fe0.1OZ,10.0
Y1Ba2Cu4O8+Z,77.0
Y1Ba2Cu3.975Fe0.025O8+Z,66.0
Y1Ba2Cu3.95Fe0.05O8+Z,51.0
Y1Ba2Cu3.925Fe0.075O8+Z,35.0
Y1Ba2Cu3.9Fe0.1O8+Z,10.0
Y2Ba4Cu7O15,80.0
Y2Ba4Cu7O14,30.0
Y2Ba4Cu7F0.6OZ,40.0
Y2Ba4Cu7F1.2OZ,56.0
Y2Ba4Cu7F1.7OZ,62.0
La1Ba1Ca1Cu3O7,69.0
La0.75Nd0.25Ba1Ca1Cu3O7,55.0
Nd1Ba1Ca1Cu3O7,33.0
La0.75Sm0.25Ba1Ca1Cu3O7,71.0
La0.5Sm0.5Ba1Ca1Cu3O7,66.0
La0.25Sm0.75Ba1Ca1Cu3O7,65.0
La0.8Pr0.2Ba1Ca1Cu3O7,52.0
La0.6Pr0.6Ba1Ca1Cu3O7,28.0
La0.4Pr0.4Ba1Ca1Cu3O7,14.0
La1.82Ca1.18Cu2O6,55.0
La0.75Dy0.25Ba1Ca1Cu3O7,56.0
La0.5Dy0.5Ba1Ca1Cu3O7,55.0
La0.25Dy0.75Ba1Ca1Cu3O7,59.0
Y1Ba2Cu4O8,75.0
Y0.9Pr0.1Ba2Cu4O8,66.0
Y0.8Pr0.2Ba2Cu4O8,60.0
Y0.7Pr0.3Ba2Cu4O8,61.0
Y0.6Pr0.4Ba2Cu4O8,54.0
Y0.5Pr0.5Ba2Cu4O8,50.0
Y0.4Pr0.6Ba2Cu4O8,40.0
Y0.3Pr0.7Ba2Cu4O8,20.0
Y2Ba4Cu7O15-Z,84.0
Y1.8Pr0.2Ba4Cu7O15-Z,70.0
Y1.6Pr0.4Ba4Cu7O15-Z,74.0
Y1.4Pr0.6Ba4Cu7O15-Z,63.0
Y1.2Pr0.8Ba4Cu7O15-Z,57.0
Y1Pr1Ba4Cu7O15-Z,44.0
Y0.8Pr1.2Ba4Cu7O15-Z,33.0
Y0.6Pr1.4Ba4Cu7O15-Z,10.0
Y1Ba2Cu3O6.765,75.8
Y1Ba2Cu3H0.1O6.765,73.0
Y1Ba2Cu3H0.24O6.765,68.0
Y1Ba2Cu3O6.795,82.5
Y1Ba2Cu3H0.1O6.795,75.0
Y1Ba2Cu3H0.2O6.795,72.5
Cu0.25Tl0.75Ba2Ca2Cu3O11-Z,108.0
Cu0.25Tl0.75Ba2Ca2Cu3O11-Z,121.0
Cu0.25Tl0.75Ba2Ca2Cu3O11-Z,117.0
Cu0.75Ti0.25Sr2Y1.3Ce0.7Cu2O8.71,21.0
Cu0.75V0.25Sr2Y1.3Ce0.7Cu2O8.77,24.5
Cu0.75Cr0.25Sr2Y1.3Ce0.7Cu2O8.87,8.0
Cu0.75Co0.25Sr2Y1.3Ce0.7Cu2O8.43,24.0
Cu0.75Ga0.25Sr2Y1.3Ce0.7Cu2O8.6,12.0
Cu0.75Ge0.25Sr2Y1.3Ce0.7Cu2O8.59,17.5
Cu0.75Ce0.25Sr2Y1.3Ce0.7Cu2O8.91,10.0
Cu0.75W0.25Sr2Y1.3Ce0.7Cu2O8.81,31.5
Cu0.75Re0.25Sr2Y1.3Ce0.7Cu2O9.06,33.5
Cu0.75Mo0.25Sr2Y1.3Ce0.7Cu2OZ,40.0
Cu0.85Re0.15Sr2Y1.5Ce0.5Cu2OZ,43.0
Bi1.6Pb0.4Sr2Eu1.65Ce0.35Cu2OZ,31.5
Bi1.55Pb0.45Sr2Eu1.65Ce0.35Cu2OZ,33.0
Bi1.5Pb0.5Sr2Eu1.65Ce0.35Cu2OZ,33.0
Bi1.45Pb0.55Sr2Eu1.65Ce0.35Cu2OZ,34.0
Bi1.4Pb0.6Sr2Eu1.65Ce0.35Cu2OZ,35.0
Bi1.3Pb0.7Sr2Eu1.65Ce0.35Cu2OZ,37.0
Bi1.2Pb0.8Sr2Eu1.65Ce0.35Cu2OZ,38.5
Bi1.1Pb0.9Sr2Eu1.65Ce0.35Cu2OZ,38.0
Cu6.5Sr2Ca5Cr0.5O15.17,32.0
Cu7.5Sr2Ca6Cr0.5O17.1,10.0
Cu2.5Sr2Ca1Cr0.5O7.5,81.0
Cu3.5Sr2Ca2Cr0.5O9.55,103.0
Cu4.5Sr2Ca3Cr0.5O11.45,71.0
Cu5.5Sr2Ca4Cr0.5O13.35,65.0
La1Ba1.5Sr0.5Cu3O7-Z,52.4
Nd1Ba1.5Sr0.5Cu3O7-Z,56.4
Sm1Ba1.5Sr0.5Cu3O7-Z,70.7
Eu1Ba1.5Sr0.5Cu3O7-Z,76.8
Gd1Ba1.5Sr0.5Cu3O7-Z,85.6
Dy1Ba1.5Sr0.5Cu3O7-Z,86.5
Ho1Ba1.5Sr0.5Cu3O7-Z,86.8
Y1Ba1.5Sr0.5Cu3O7-Z,87.4
Tl1Sr2Ba2Cu2C2.7N0.3O7,49.0
Tl1Sr2Ba2Cu2C2.4N0.6O7,49.0
Tl0.5Pb0.5Sr4Cu2C0.9N0.1O7,76.0
Tl0.5Pb0.5Sr4Cu2C0.7N0.3O7,70.0
Tl0.5Pb0.5Sr4Cu2C0.5N0.5O7,70.0
Tl0.78Bi0.22Sr1.6Ba0.4Ca2Cu3O9-Z,108.0
Hg0.7Cr0.3Sr2Cu1O4+Z,63.0
Y1Ba2Cu3Li0.02O7,91.18
Y1Ba2Cu3Li0.08O7,89.2
Y1Ba2Cu3Li0.1O7,88.91
Y1Ba2Cu3Li0.3O7,86.0
Y1Ba2Cu3Li0.5O7,83.79
Hg1Ba2Cu1O4.08,96.0
Bi2Sr2Ca1Cu1.4K0.6O8+Z,85.0
Bi2Sr2Ca1Cu1.3K0.7O8+Z,87.0
Bi2Sr2Ca1Cu1.2K0.8O8+Z,93.0
Bi2Sr2Ca1Cu2O8.218,70.0
Y1Ba2Cu3O7+Z,89.5
Hg1Ba2Cu1O4.049,70.0
Hg1Ba2Cu1O4.055,78.2
Hg1Ba2Cu1O4.066,88.5
Hg1Ba2Cu1O4.096,95.6
Hg1Ba2Cu1O4.097,95.3
Hg1Ba2Cu1O4.1,94.1
Hg1Ba2Cu1O4.101,93.4
Hg1Ba2Cu1O4.103,92.5
Hg1Ba2Cu1O4.105,90.9
Hg1Ba2Cu1O4.108,89.1
La1Ba1.5Sr0.5Cu3O7-Z,52.4
Nd1Ba1.5Sr0.5Cu3O7-Z,56.4
Sm1Ba1.5Sr0.5Cu3O7-Z,70.7
Eu1Ba1.5Sr0.5Cu3O7-Z,76.8
Gd1Ba1.5Sr0.5Cu3O7-Z,85.6
Dy1Ba1.5Sr0.5Cu3O7-Z,86.5
Ho1Ba1.5Sr0.5Cu3O7-Z,86.8
Y1Ba1.5Sr0.5Cu3O7-Z,87.4
Bi1.6Pb0.4Sr2Cu3Ca2O1013,102.0
Bi1.6Pb0.4Sr2Cu3Ca2O10.11,84.0
Bi1.6Pb0.4Sr2Cu3Ca2O10.08,60.0
Bi1.6Pb0.4Sr2Cu3Ca2O10.04,45.0
Y1Ba2Cu3Li0.02O7-Z,89.3
Y1Ba2Cu3Li0.02O7-Z,89.1
Y1Ba2Cu3Li0.02O7-Z,89.4
Y1Ba2Cu3Li0.02O7-Z,88.3
Y1Ba2Cu3Li0.06O7-Z,87.1
Y1Ba2Cu3Li0.06O7-Z,86.7
Y1Ba2Cu3Li0.06O7-Z,88.8
Y1Ba2Cu3Li0.06O7-Z,86.8
Bi1.6Pb0.4Sr2Ca2Cu3O10.34,67.1
Bi1.6Pb0.4Sr2Ca2Cu3O10.24,73.3
Bi1.6Pb0.4Sr2Ca2Cu3O10.15,97.0
Bi1.6Pb0.4Sr2Ca2Cu3O10.07,102.3
Bi1.6Pb0.4Sr2Ca2Cu3O9.91,104.4
